"iso_code","YearMonth","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","people_vaccinated","people_fully_vaccinated","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","new_vaccinations_smoothed_per_million","stringency_index","testing_policy","contact_tracing","containment_index","vaccination_policy","debt_relief","close_public_transport","school_closures","stay_home_requirements","transit_stations","workplace_closures","workplaces","facial_coverings","income_support","restrictions_internal_movements","public_information_campaigns","cancel_public_events","restriction_gatherings","CCI","CCIChange","CCINorm"
"AUS",202012,28130.5161290323,16.5483870967742,15.2949032258065,908.161290322581,0.032258064516129,0.0461290322580645,1103.16270967742,0.648967741935484,0.599774193548387,35.6142903225806,0.00125806451612903,0.00193548387096774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.9932258064516,2,2,60.2322580645161,0,2,1,1,1.41935483870968,-35.8525806451613,2.41935483870968,-16.9400967741935,2,1,2,2,2,4,100.871,0.263999999999996,1.85061999999999
"AUS",202101,28677.8064516129,12.6774193548387,14.2489032258065,909,0,0.0092258064516129,1124.62512903226,0.497096774193548,0.558774193548387,35.647,0,0.000387096774193548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.6751612903226,2,2,59.098064516129,0,1,1,1,0.709677419354839,-44.9723548387097,1.70967741935484,-26.1842903225806,2.2258064516129,1,2,2,1.35483870967742,4,100.8757,0.0046999999999997,1.85531999999999
"AUS",202102,28899.6428571429,5.71428571428571,5.60717857142857,909,0,0,1133.32460714286,0.224035714285714,0.219785714285714,35.647,0,0,0,0,0,0,0,0,0,0,4078.60714285714,0,1139.07142857143,582.642857142857,0.0164285714285714,0.0164285714285714,0,22.8571428571429,62.4664285714286,2,2,63.2296428571429,0.571428571428571,1,1,1.71428571428571,0.714285714285714,-37.3162857142857,2.35714285714286,-10.3366785714286,3.14285714285714,1,2,2,1.35714285714286,3.67857142857143,100.9839,0.108200000000011,1.96352
"AUS",202103,29149.9677419355,11.0967741935484,10.3916451612903,909,0,0,1143.14135483871,0.435258064516129,0.407612903225806,35.647,0,0,0,0,0,0,0,0,0,0,36273.6451612903,0,20595.3225806452,16506.8387096774,0.943548387096774,0.141935483870968,0,647.354838709677,50.91,2,2,56.4870967741935,2.64516129032258,0.870967741935484,1,1.19354838709677,0.193548387096774,-31.0460322580645,2.09677419354839,-7.48383870967742,2.09677419354839,0.483870967741935,1.64516129032258,2,1.09677419354839,3.09677419354839,101.2998,0.315899999999999,2.27942
"AUS",202104,29523.6666666667,16.3,15.4475666666667,909.633333333333,0.0333333333333333,0.0333666666666667,1157.79616666667,0.639166666666667,0.6059,35.6717,0.0013,0.0014,0,0,0,0,0,0,0,0,0,0,50306.5,49429.1666666667,5.539,0,0,1938.46666666667,49.1363333333333,2,2,58.9983333333333,4,0,1,1.03333333333333,0.2,-30.8809666666667,1.33333333333333,-16.5000333333333,2.83333333333333,0,1.83333333333333,2,1.1,3.1,101.7832,0.483399999999989,2.76281999999999
"AUT",202002,3.8,1.8,0,0,0,0,0.4218,0.1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,1,0.172413793103448,4.47448275862069,0,0,0,0,0,4.567,0,-1.38323076923077,0,0,0,0.413793103448276,0,0,100.1945,0,0
"AUT",202003,2735.54838709677,328.096774193548,262.635967741935,20.1935483870968,4.12903225806452,2.42858064516129,303.733870967742,36.4293225806452,29.1609677419355,2.24212903225806,0.458451612903226,0.269677419354839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.9261290322581,1.29032258064516,1.06451612903226,43.3593548387097,0,1.03225806451613,0.612903225806452,1.03225806451613,1.03225806451613,-32.8663548387097,1.67741935483871,-24.4424193548387,0,0.838709677419355,1.2258064516129,2,1.35483870967742,2.06451612903226,99.57986,-0.614640000000009,-0.614640000000009
"AUT",202004,13908.0666666667,175.733333333333,237.7048,388.766666666667,15.2,16.0142333333333,1544.24253333333,19.5120666666667,26.3929666666667,43.1656,1.68776666666667,1.77813333333333,208.433333333333,23.1428666666667,663.3,73.6476333333333,0,0,0,0,0,0,0,0,0,0,0,0,78.642,2,2,70.4956666666667,0,2,1,2,2,-61.6380333333333,2.43333333333333,-52.0000333333333,1.83333333333333,2,1.73333333333333,2,2,4,98.96923,-0.61063,-1.22527000000001
"AUT",202005,16144.4838709677,41.258064516129,43.5806129032258,628.193548387097,2.70967741935484,3.27648387096774,1792.55677419355,4.58103225806452,4.83883870967742,69.7496129032258,0.300806451612903,0.363774193548387,58.3870967741936,6.48293548387097,182.935483870968,20.3116774193548,0,0,0,0,0,0,0,0,0,0,0,0,60.601935483871,2,2,59.3096774193548,0,2,0.32258064516129,2,0,-41.4792580645161,2,-33.4193870967742,2,2,0.903225806451613,2,2,3.03225806451613,98.95512,-0.0141100000000023,-1.23938000000001
"AUT",202006,17186.4,34.5,32.3095,683.166666666667,1.23333333333333,1.41893333333333,1908.24303333333,3.83056666666667,3.58743333333333,75.8536,0.1369,0.157433333333333,13.5,1.49883333333333,61.7666666666667,6.8581,0,0,0,0,0,0,0,0,0,0,0,0,50.2466666666667,2,2,52.5386666666667,0,2,0,1.06666666666667,0,-27.3904666666667,2,-22.7856333333333,2,2,0,2,2,3,99.26632,0.311199999999999,-0.928180000000012
